"GISJOIN,C,80","NHGISST,C,80","NHGISCT,C,80","SHAPE_A,N,24,15","SHAPE_L,N,24,15","SrfcTmA,N,24,15"
0400130030366,040,0130,1335549.168320000000000,4942.237924060000000,16804.000000000000000
0400130030367,040,0130,36882924.410600000000000,35920.625555600000000,16787.650000000000000
0400130030374,040,0130,4839677.121120000000000,9602.531345440000000,16777.333333333300000
0400130040511,040,0130,11191839.652500000000000,16872.307918100000000,16768.769230769200000
0400130030342,040,0130,172015654.047000000000000,64219.092897600000000,16765.358974359000000
0400130030371,040,0130,18945823.729500000000000,20758.068870900000000,16763.520000000000000
0400130030380,040,0130,15594021.335100000000000,22952.567177200000000,16761.533333333300000
0400130030325,040,0130,2290508.023210000000000,6765.832052430000000,16754.000000000000000
0400130030375,040,0130,90241436.514200000000000,46719.448287100000000,16752.923809523800000
0400130082012,040,0130,2977629.611710000000000,7032.325888730000000,16751.000000000000000
0400130030364,040,0130,2033196.190490000000000,5892.039549100000000,16749.000000000000000
0400130082002,040,0130,2626074.349090000000000,6542.461326920000000,16745.500000000000000
0400130030333,040,0130,27098627.679300000000000,21201.946111400000000,16742.344827586200000
0400130116100,040,0130,2422638.937420000000000,6363.729944420000000,16738.000000000000000
0400130030369,040,0130,2613214.984010000000000,7224.811788330000000,16733.500000000000000
0400130030316,040,0130,1935163.937290000000000,6381.802785650000000,16730.666666666700000
0400130071505,040,0130,6274873.665280000000000,11757.442647800000000,16729.714285714300000
0400130093101,040,0130,1316138.211800000000000,5483.193775800000000,16729.000000000000000
0400130030328,040,0130,3312636.010700000000000,7313.749568520000000,16727.333333333300000
0400130941100,040,0130,90747969.629300000000000,38168.981531900000000,16725.009615384600000
0400130060800,040,0130,7261930.570830000000000,11959.556672700000000,16723.200000000000000
0400130030379,040,0130,5792487.174010000000000,10438.567463700000000,16720.166666666700000
0400130116000,040,0130,2483693.105130000000000,6305.593456030000000,16720.000000000000000
0400130030358,040,0130,17262468.800100000000000,18036.816709900000000,16719.611111111100000
0400130030363,040,0130,37858507.831100000000000,26089.801487800000000,16710.311111111100000
0400130030344,040,0130,2804571.166220000000000,6731.176371570000000,16709.250000000000000
0400130522757,040,0130,37380601.891900000000000,40705.932998600000000,16708.581395348800000
0400130092707,040,0130,5839296.131640000000000,10404.218141300000000,16703.250000000000000
0400130109601,040,0130,1214693.004170000000000,5252.345265110000000,16701.000000000000000
0400130109704,040,0130,615195.208577000000000,3154.382422770000000,16698.000000000000000
0400130115100,040,0130,3471951.162070000000000,7584.731731570000000,16697.500000000000000
0400130116726,040,0130,7104432.718460000000000,14797.635716200000000,16693.400000000000000
0400130109200,040,0130,2592388.311130000000000,6438.508511930000000,16693.000000000000000
0400130112301,040,0130,1264254.667530000000000,4873.531177410000000,16690.500000000000000
0400130030373,040,0130,4086409.550960000000000,9069.348217950000000,16689.833333333300000
