"FID_A2006J,N,9,0","GISJOIN,C,80","NHGISST,C,80","NHGISCT,C,80","SHAPE_A,N,19,15","SHAPE_L,N,19,15","SrfcTmA,N,19,15","FID_A200_1,N,9,0","GISJOIN_1,C,80","NHGISST_1,C,80","NHGISCT_1,C,80","SHAPE_A_1,N,19,15","SHAPE_L_1,N,19,15","SrfcTmA_1,N,19,15","FID_A200_2,N,9,0","GISJOIN_12,C,80","NHGISST_12,C,80","NHGISCT_12,C,80","SHAPE_A_12,N,19,15","SHAPE_L_12,N,19,15","SrfcTmA_12,N,19,15","FID_A200_3,N,9,0","GISJOIN_13,C,80","NHGISST_13,C,80","NHGISCT_13,C,80","SHAPE_A_13,N,19,15","SHAPE_L_13,N,19,15","SrfcTmA_13,N,19,15","FID_A200_4,N,9,0","GISJOIN_14,C,80","NHGISST_14,C,80","NHGISCT_14,C,80","SHAPE_A_14,N,19,15","SHAPE_L_14,N,19,15","SrfcTmA_14,N,19,15","FID_A200_5,N,9,0","GISJOIN_15,C,80","NHGISST_15,C,80","NHGISCT_15,C,80","SHAPE_A_15,N,19,15","SHAPE_L_15,N,19,15","SrfcTmA_15,N,19,15","FID_A200_6,N,9,0","GISJOIN_16,C,80","NHGISST_16,C,80","NHGISCT_16,C,80","SHAPE_A_16,N,19,15","SHAPE_L_16,N,19,15","SrfcTmA_16,N,19,15","FID_A200_7,N,9,0","GISJOIN_17,C,80","NHGISST_17,C,80","NHGISCT_17,C,80","SHAPE_A_17,N,19,15","SHAPE_L_17,N,19,15","SrfcTmA_17,N,19,15","SFCTemp,N,9,0"
7,0400130030313,040,0130,2604132.029320000000000,6477.430676510000000,16634.500000000000000,-1,,,,0.000000000000000,0.000000000000000,0.000000000000000,-1,,,,0.000000000000000,0.000000000000000,0.000000000000000,-1,,,,0.000000000000000,0.000000000000000,0.000000000000000,-1,,,,0.000000000000000,0.000000000000000,0.000000000000000,-1,,,,0.000000000000000,0.000000000000000,0.000000000000000,-1,,,,0.000000000000000,0.000000000000000,0.000000000000000,-1,,,,0.000000000000000,0.000000000000000,0.000000000000000,16634
15,0400130030331,040,0130,2592840.479500000000000,6465.065274320000000,16638.250000000000000,-1,,,,0.000000000000000,0.000000000000000,0.000000000000000,-1,,,,0.000000000000000,0.000000000000000,0.000000000000000,-1,,,,0.000000000000000,0.000000000000000,0.000000000000000,-1,,,,0.000000000000000,0.000000000000000,0.000000000000000,-1,,,,0.000000000000000,0.000000000000000,0.000000000000000,-1,,,,0.000000000000000,0.000000000000000,0.000000000000000,-1,,,,0.000000000000000,0.000000000000000,0.000000000000000,16638
20,0400130030341,040,0130,2589817.887080000000000,6433.731474310000000,16627.000000000000000,-1,,,,0.000000000000000,0.000000000000000,0.000000000000000,-1,,,,0.000000000000000,0.000000000000000,0.000000000000000,-1,,,,0.000000000000000,0.000000000000000,0.000000000000000,-1,,,,0.000000000000000,0.000000000000000,0.000000000000000,-1,,,,0.000000000000000,0.000000000000000,0.000000000000000,-1,,,,0.000000000000000,0.000000000000000,0.000000000000000,-1,,,,0.000000000000000,0.000000000000000,0.000000000000000,16627
48,0400130061006,040,0130,116738958.953000000000000,76164.443049500000000,16629.697183100000000,-1,,,,0.000000000000000,0.000000000000000,0.000000000000000,-1,,,,0.000000000000000,0.000000000000000,0.000000000000000,-1,,,,0.000000000000000,0.000000000000000,0.000000000000000,-1,,,,0.000000000000000,0.000000000000000,0.000000000000000,-1,,,,0.000000000000000,0.000000000000000,0.000000000000000,-1,,,,0.000000000000000,0.000000000000000,0.000000000000000,-1,,,,0.000000000000000,0.000000000000000,0.000000000000000,16630
51,0400130071503,040,0130,3955585.152520000000000,8294.811492120000000,16638.000000000000000,-1,,,,0.000000000000000,0.000000000000000,0.000000000000000,-1,,,,0.000000000000000,0.000000000000000,0.000000000000000,-1,,,,0.000000000000000,0.000000000000000,0.000000000000000,-1,,,,0.000000000000000,0.000000000000000,0.000000000000000,-1,,,,0.000000000000000,0.000000000000000,0.000000000000000,-1,,,,0.000000000000000,0.000000000000000,0.000000000000000,-1,,,,0.000000000000000,0.000000000000000,0.000000000000000,16638
77,0400130103205,040,0130,2775527.986560000000000,6807.447470180000000,16626.750000000000000,-1,,,,0.000000000000000,0.000000000000000,0.000000000000000,-1,,,,0.000000000000000,0.000000000000000,0.000000000000000,-1,,,,0.000000000000000,0.000000000000000,0.000000000000000,-1,,,,0.000000000000000,0.000000000000000,0.000000000000000,-1,,,,0.000000000000000,0.000000000000000,0.000000000000000,-1,,,,0.000000000000000,0.000000000000000,0.000000000000000,-1,,,,0.000000000000000,0.000000000000000,0.000000000000000,16627
88,0400130103900,040,0130,2491053.178180000000000,6336.480852130000000,16626.500000000000000,-1,,,,0.000000000000000,0.000000000000000,0.000000000000000,-1,,,,0.000000000000000,0.000000000000000,0.000000000000000,-1,,,,0.000000000000000,0.000000000000000,0.000000000000000,-1,,,,0.000000000000000,0.000000000000000,0.000000000000000,-1,,,,0.000000000000000,0.000000000000000,0.000000000000000,-1,,,,0.000000000000000,0.000000000000000,0.000000000000000,-1,,,,0.000000000000000,0.000000000000000,0.000000000000000,16626
97,0400130104300,040,0130,2602546.411890000000000,6467.393774710000000,16626.000000000000000,-1,,,,0.000000000000000,0.000000000000000,0.000000000000000,-1,,,,0.000000000000000,0.000000000000000,0.000000000000000,-1,,,,0.000000000000000,0.000000000000000,0.000000000000000,-1,,,,0.000000000000000,0.000000000000000,0.000000000000000,-1,,,,0.000000000000000,0.000000000000000,0.000000000000000,-1,,,,0.000000000000000,0.000000000000000,0.000000000000000,-1,,,,0.000000000000000,0.000000000000000,0.000000000000000,16626
98,0400130104400,040,0130,5147528.363010000000000,9654.528560380000000,16634.000000000000000,-1,,,,0.000000000000000,0.000000000000000,0.000000000000000,-1,,,,0.000000000000000,0.000000000000000,0.000000000000000,-1,,,,0.000000000000000,0.000000000000000,0.000000000000000,-1,,,,0.000000000000000,0.000000000000000,0.000000000000000,-1,,,,0.000000000000000,0.000000000000000,0.000000000000000,-1,,,,0.000000000000000,0.000000000000000,0.000000000000000,-1,,,,0.000000000000000,0.000000000000000,0.000000000000000,16634
-1,,,,0.000000000000000,0.000000000000000,0.000000000000000,42,0400130061400,040,0130,2926047.600890000000000,8366.168746080000000,16425.000000000000000,-1,,,,0.000000000000000,0.000000000000000,0.000000000000000,-1,,,,0.000000000000000,0.000000000000000,0.000000000000000,-1,,,,0.000000000000000,0.000000000000000,0.000000000000000,-1,,,,0.000000000000000,0.000000000000000,0.000000000000000,-1,,,,0.000000000000000,0.000000000000000,0.000000000000000,-1,,,,0.000000000000000,0.000000000000000,0.000000000000000,16425
