NAME : Phoenix, Phoenix-Deer Valley Municipal Airport
STID : KDVT
LONGITUDE : -112.06618
LATITUDE : 33.69026
ELEVATION : 1486
STATE : AZ
ID : 165

NAME : Mesa / Falcon Field
STID : KFFZ
LONGITUDE : -111.73333
LATITUDE : 33.46667
ELEVATION : 1391
STATE : AZ
ID : 187

NAME : Gila Bend Air Force Auxiliary Field
STID : KGXF
LONGITUDE : -112.72
LATITUDE : 32.8875
ELEVATION : 859
STATE : AZ
ID : 194

NAME : Glendale, Glendale Municipal Airport
STID : KGEU
LONGITUDE : -112.29528
LATITUDE : 33.52722
ELEVATION : 1066
STATE : AZ
ID : 199

NAME : Goodyear Municipal
STID : KGYR
LONGITUDE : -112.38333
LATITUDE : 33.41667
ELEVATION : 968
STATE : AZ
ID : 209

NAME : Phoenix-Mesa Gateway Airport
STID : KIWA
LONGITUDE : -111.65
LATITUDE : 33.31667
ELEVATION : 1381
STATE : AZ
ID : 230

NAME : Luke Air Force Base / Phoenix
STID : KLUF
LONGITUDE : -112.38333
LATITUDE : 33.53333
ELEVATION : 1089
STATE : AZ
ID : 253

NAME : Phoenix, Phoenix Sky Harbor International Airport
STID : KPHX
LONGITUDE : -112.003465
LATITUDE : 33.427799
ELEVATION : 1115
STATE : AZ
ID : 328

NAME : Scottsdale, Scottsdale Airport
STID : KSDL
LONGITUDE : -111.91056
LATITUDE : 33.62278
ELEVATION : 1509
STATE : AZ
ID : 373

NAME : ACDC @ 67th Ave.
STID : MA67
LONGITUDE : -112.2
LATITUDE : 33.62
ELEVATION : 1220
STATE : AZ
ID : 913

NAME : Carefree Ranch
STID : MACR
LONGITUDE : -111.85
LATITUDE : 33.87
ELEVATION : 2960
STATE : AZ
ID : 914

NAME : Crossroads Park
STID : MACP
LONGITUDE : -111.74
LATITUDE : 33.32
ELEVATION : 1270
STATE : AZ
ID : 916

NAME : Durango Complex
STID : MADC
LONGITUDE : -112.12
LATITUDE : 33.42
ELEVATION : 1050
STATE : AZ
